id,number,update_date,available_bikes,available_bike_stands,weather
1,42,1680129628000,18,12,Clouds
2,42,1680129628000,18,12,Clouds
3,42,1680134426000,18,12,Rain
4,30,1680134433000,14,6,Rain
5,54,1680134427000,2,31,Rain
6,108,1680134531000,20,15,Rain
7,20,1680134425000,0,30,Rain
8,56,1680134432000,4,36,Rain
9,6,1680134426000,5,15,Rain
10,18,1680134430000,21,9,Rain
11,32,1680134432000,1,29,Rain
12,52,1680134428000,0,32,Rain
13,48,1680134432000,13,27,Rain
14,13,1680134427000,8,22,Rain
15,43,1680134428000,29,0,Rain
16,31,1680134431000,19,1,Rain
17,98,1680134427000,12,27,Rain
18,14,1680134431000,6,24,Rain
19,1,1680134426000,0,31,Rain
20,23,1680134157000,27,3,Rain
21,106,1680134437000,31,9,Rain
22,112,1680134429000,30,0,Rain
23,68,1680134432000,4,36,Rain
24,74,1680134430000,13,17,Rain
25,87,1680134429000,25,13,Rain
26,84,1680133987000,19,11,Rain
27,90,1680134431000,1,39,Rain
28,11,1680134432000,0,30,Rain
29,17,1680134429000,0,20,Rain
30,45,1680134428000,9,21,Rain
31,114,1680134428000,2,38,Rain
32,72,1680134424000,4,27,Rain
33,63,1680134426000,4,31,Rain
34,113,1680134433000,0,40,Rain
35,91,1680134432000,20,10,Rain
36,99,1680134430000,1,29,Rain
37,9,1680134513000,9,15,Rain
38,67,1680134428000,30,10,Rain
39,116,1680134431000,1,29,Rain
40,55,1680134432000,0,34,Rain
41,62,1680134429000,0,20,Rain
42,5,1680134404000,35,5,Rain
43,97,1680134427000,14,26,Rain
44,61,1680134429000,2,23,Rain
45,77,1680134425000,14,15,Rain
46,73,1680134427000,14,16,Rain
47,4,1680134429000,5,15,Rain
48,49,1680134427000,24,16,Rain
49,19,1680134541000,2,28,Rain
50,7,1680134430000,5,24,Rain
51,60,1680134500000,28,2,Rain
52,102,1680134386000,25,15,Rain
53,38,1680134185000,11,29,Rain
54,53,1680134433000,0,40,Rain
55,58,1680134432000,1,39,Rain
